,geo,tweet,user_handle,location,cleaned_tweets
0,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",mmmmaybachmusik,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
1,,"RT @UNOCHA: 🚨 MEDIA ALERT

@antonioguterres @UNReliefChief @DrTedros @unicefchief will virtually launch the #COVID19 Global Humanitarian Re…",UNinSyria,Syria, media ale will viually launch the covid global humanitarian re
2,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,Dorli28,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
3,,COVID-19: Union Bank Activates Remote Working For Employees https://t.co/jM6Nx1TI5Y https://t.co/OtAMib1WH4,tcpmultimedia,,covid union bank activates remote working for employees
4,,via @PerilofAfrica  Russian Fitness Model Draws Ire After Making Swimsuit of Medicinal Masks Amid COVID-19 Pandemic… https://t.co/AdVht0dnrS,mlnangalama,"New Brunswick, Canada",via russian fitness model draws ire after making swimsuit of medicinal masks amid covid pandemic
5,,"RT @BBCPolitics: ""We have to take the fight to the virus""

Dr Michael Ryan, Executive Director at the World Health Organisation, on how #Co…",RinaeSami,, we have to take the fight to the virus dr michael ryan executive director at the world health organisation on how co
6,,"RT @RealSushilS: I pledge contribution of INR 50000 to fight COVID-19 in India.  Eager to hear from government on my request below.

@repub…",vire_verma,New Delhi, i pledge contribution of inr to fight covid in india eager to hear from government on my request below
7,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,lozanoDIXIE,Kansas 🌪🌻🌾, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
8,,RT @CapitalCurrent: #COVID19outbreak update for March 22: The PM said Parliament would reconvene on Tuesday to pass… https://t.co/4DCyrQxFl4,capnewsonline,Ottawa, covid outbreak update for march the pm said parliament would reconvene on tuesday to pass
9,,"I just wrote a @tenantstogether letter: Newsom, Enact Statewide Moratoriums and Protections during the Coronavirus… https://t.co/eUZy0KwepL",ZachWNorris,"Oakland, CA",i just wrote a letter newsom enact statewide moratoriums and protections during the coronavirus
10,,RT @mkraju: Rand Paul has tested positive for the coronavirus. “Senator Rand Paul has tested positive for COVID-19. He is feeling fine and…,messi1_ali,, rand paul has tested positive for the coronavirus senator rand paul has tested positive for covid he is feeling fine and
11,,RT @Egbert_PengWu: @DHSCgovuk @CMO_England @PHE_uk @NHSEngland @NHSuk @CathCalderwood1 @scotgovhealth @CMOWales @PublicHealthW @publichealt…,lanresegilola,"London, England", pengwu england uk
12,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,chaslutz,nyc, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
13,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,wickedViks,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
14,,"RT @kurteichenwald: Why Americans will cause one of the  worst COVID-19 outbreaks.

A. A vast majority are self-centered and ignorant, beli…",lumtweet,"Galapagos, Ecuador", why americans will cause one of the worst covid outbreaks a a vast majority are self centered and ignorant beli
15,,"RT @chicagosmayor: You can still go outside for a walk, buy groceries, get your medicine, get your laundry done, and more under the Stay at…",huskeeman82,"Chicago, IL", you can still go outside for a walk buy groceries get your medicine get your laundry done and more under the stay at
16,,RT @SiouxsieW: I explain what level 2 of NZ's #Covid_19 Alert System is in my latest @TheSpinoffTV piece. In her briefing @jacindaardern li…,ReinhardHiller,"Cape Town, South Africa", i explain what level of nz s covid ale system is in my latest piece in her briefing li
17,,"RT @hjelle_brian: Only about 8000 more tests for COVID-19 occurred today so far, despite claimed availability of 5 million tests.",Ldonahuehjelle,New Mexico. That’s in the USA., brian only about more tests for covid occurred today so far despite claimed availability of million tests
18,,"RT @narendramodi: Today, via video conferencing, interacted with various stakeholders associated with the pharmaceuticals industry and revi…",Singh_Harsh90,Navi Mumbai, today via video conferencing interacted with various stakeholders associated with the pharmaceuticals industry and revi
19,,"RT @CraigCons: Prophet Muhammad balanced faith w/ reason.

He once saw a man leaving his camel w/ out tying it. He asked: “Why don’t you ti…",Ogloyal1,"New York, USA IJN", prophet muhammad balanced faith w reason he once saw a man leaving his camel w out tying it he asked why don t you ti
20,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",Gabe_Mummert,"Pennsylvania, USA", sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
21,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",SirRogerThe21th,Bruxelles, the world will never be the same after we recover from covid every time the government said they couldn t find money for
22,,RT @josungkim: 93-year-old woman recovers from COVID-19 in South Korea after 13 days of intensive treatment. She had no other underlying il…,NWtyger,"Seattle, WA", year old woman recovers from covid in south korea after days of intensive treatment she had no other underlying il
23,,"RT @bradleyziffer: So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t…",RafalHj,"Jeddah, KSA", so the last week i have been battling covid pneumonia never in my life have i been this ill young people aren t
24,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",JohnnyDane610,"Norristown, PA", sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
25,,"Ways to tell the difference between COVID-19, a cold &amp; the flu. Thanks to the @OHdeptofhealth for sharing this. https://t.co/eLGMh4oiJy",tomforohio,"Solon, OH",ways to tell the difference between covid a cold the flu thanks to the for sharing this
26,,"RT @OPERA_PASSION: .@PlacidoDomingo Tests Positive for #COVID19
""I feel it is my moral duty to announce to you that I have tested positive…",TylerBarton27,United States, passion tests positive for covid i feel it is my moral duty to announce to you that i have tested positive
27,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,I_Say_What,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
28,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",patgilbreath_,"Austin, TX", i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
29,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,NimbuPani2,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
30,,@HAHayatu @DokunOjomo Because that is what covid-19 was meant for in the first instance,timothyolusanya,"abuja, nigeria",because that is what covid was meant for in the first instance
31,,"RT @modrnhealthcr: #LIVE #Updates: The number of deaths of people with the #coronavirus in #Italy jumped 651 to 5,476 in the last 24 hours,…",SupplyChainSN,, live updates the number of deaths of people with the coronavirus in italy jumped to in the last hours
32,,It’s unconscionable and unethical for a medical doctor to commend without qualifications an institution that had cu… https://t.co/oCXl5mSu1J,HAILUNegawo,United States,it s unconscionable and unethical for a medical doctor to commend without qualifications an institution that had cu
33,,"RT @RokoMijicUK: @davidmanheim @Willy_Chertman @anderssandberg @EGoldish @JenniferNuzzo @jhchs ""We estimated that the travel ban implemente…",stefan_arrr,"London, England", cheman we estimated that the travel ban implemente
34,,"RT @Chilaz10: Dear Mr President, I am on the way to bring confusion to your country. Be prepared. Yours, Covid-19 xo https://t.co/0vxoPTJw54",sam_e13,Zambia, dear mr president i am on the way to bring confusion to your country be prepared yours covid xo
35,,RT @Marvjacob5: Health Sec. Duque is on self-quarantine but goes to work just to sign papers to remove and replace RITM head Dr. Celia Carl…,azucchann_,IG: azucchann_, health sec duque is on self quarantine but goes to work just to sign papers to remove and replace ritm head dr celia carl
36,,"RT @mikkelsvane: A PSA and a reminder: If you're a customer and need some urgent COVID-19 related assistance or guidance from us, please us…",bewie,Montpellier, a psa and a reminder if you re a customer and need some urgent covid related assistance or guidance from us please us
37,,RT @vaitor: Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 t…,_cheickhamid,Guinée, korea finished developing the minute covid diagnostic kit and is now ramping up production they plan to expo t
38,,"@IOL @WeekendArgus Most cases in this country are from Europe and still say ""over ungrounded covid-19 fears"" smh!",kmoeng,Azania(Bophuthatswana),most cases in this country are from europe and still say over ungrounded covid fears smh
39,,RT @Akfamilyhome: Blathers' museum is closed due to COVID-19.,Gloria_class_2,hiding in the studio, blathers museum is closed due to covid
40,,"RT @BendyBen999: Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the…",trsc22,, attended a patient at home strong covid symptoms full assessment left her at home lengthy advice re isolation the
41,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",srProfezor,atx, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
42,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,TheklaSingh,"Jaipur, India", a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
43,,"RT @lovemedleys: BREAKING: due to COVID-19, the biannual international amateur salsa and ballroom dancing championships in paris have been…",theoisamess,"England, United Kingdom", breaking due to covid the biannual international amateur salsa and ballroom dancing championships in paris have been
44,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,naveen_rts,"Hyderabad, India", a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
45,,"RT @heliobeltrao: 50 hospitais da Austrália usarão a hidroxicloroquina. ""In a secret trial, they were all given HIV medication, Kaletra and…",ngieme,Brazil, hospitais da austr lia usar o a hidroxicloroquina in a secret trial they were all given hiv medication kaletra and
46,,"RT @igiglim: Celebrities and government officials get tested numerous times, but the rest of the Filipinos doesn't receive the same treatme…",Dan_Meath,, celebrities and government officials get tested numerous times but the rest of the filipinos doesn t receive the same treatme
47,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",kairubenard,"Nairobi, Kenya", sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
48,,"RT @mhd_yahiya: Better convincing corona than convincing our people.
#corona #coronaupdatesindia https://t.co/o3Potb0gaS",Mayurpu9664,"Powai, Mumbai", yahiya better convincing corona than convincing our people corona coronaupdatesindia
49,,RT @drGregBowman: Please be patient if you experience idle time on @foldingathome  as we face the #COVID19  pandemic together! We are worki…,addisonsnell,"Silicon Valley, CA", please be patient if you experience idle time on as we face the covid pandemic together we are worki
50,,"RT @SeekersGuidance: ""Now is the time to reconnect with Allah and start by making taba.""
- Mufti @HussainKamani during the SeekersGuidance…",FarazRabbani,"Toronto, ON, Canada", now is the time to reconnect with allah and sta by making taba mufti during the seekersguidance
51,,"RT @Don_4all: This is just so Awesome Simple, Common &amp; Yet so Special! Tears of Pride &amp; Gratitude! God Bless India! 

Hope Nation prevails…",IshaSinghal5,India, all this is just so awesome simple common yet so special tears of pride gratitude god bless india hope nation prevails
52,,"RT @_NairFYI: Claims to be a qualified doctor, according to this person thali bajao processions and gatherings would create #Corona awarene…",Madhuri34532819,India, nairfyi claims to be a qualified doctor according to this person thali bajao processions and gatherings would create corona awarene
53,,"RT @narendramodi: Do remember,

5 PM this evening for 5 minutes...

Be on your terraces, balconies or windows to express gratitude to all t…",manojkaushik24,, do remember pm this evening for minutes be on your terraces balconies or windows to express gratitude to all t
54,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",phoebe_kathleen,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
55,,RT @sharmasupriya: Rema reported how firms that make safety gear were repeatedly asking – begging – the government to set standards so that…,Archanaa88,"Bengaluru South, India", rema repoed how firms that make safety gear were repeatedly asking begging the government to set standards so that
56,,RT @SenatorTimScott: A quick update from Washington about what we are doing to provide the necessary resources to protect the American peop…,03forester,, a quick update from washington about what we are doing to provide the necessary resources to protect the american peop
57,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,pruthwirajdeo,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
58,,"RT @News24: JUST IN: South Africa has 274 confirmed cases of coronavirus | #CoronavirusinSA #Covid19InSA

https://t.co/iJ9sMt4Zot https://t…",ReFeeLweH,South Africa, just in south africa has confirmed cases of coronavirus coronavirusinsa covid insa
59,,"E

Rand Paul become first U.S. senator to test positive for coronavirus https://t.co/JWgrLC8iir via @MailOnline",NancyNeon4,"Koreatown, Los Angeles",e rand paul become first u s senator to test positive for coronavirus via
60,,"RT @sajhm13: Immune Boosting Foods.

#coronaupdatesindia #COVIDー19 #IndiaFightsCorona #COVID19outbreak
#COVIDIOT #COVID19 #StayAtHome #Stay…",nenumeeNK,, immune boosting foods coronaupdatesindia covid indiafightscorona covid outbreak covidiot covid stayathome stay
61,,"RT @BringHockeyBack: #FlattenTheCurve. 

The only way to #BringHockeyBack. 

This ain't a lockout, this is on all of us.",KyleKyFl,"Florida, USA", flattenthecurve the only way to bringhockeyback this ain t a lockout this is on all of us
62,,Alex Rodriguez Announces 'A-Rod Baseball Bunch' Virtual Clinic amid COVID-19 https://t.co/NuLTDPcgJb,Sportnewsbuzz,,alex rodriguez announces a rod baseball bunch viual clinic amid covid
63,,"RT @cenkuygur: I feel terrible for @RandPaul that he tested positive for #Covid_19. I wish him a speedy recovery. At the same time, he obvi…",Truthbomb44,, i feel terrible for that he tested positive for covid i wish him a speedy recovery at the same time he obvi
64,,"Jamaica joins UNWTO effort to mitigate COVID-19 tourism impact. 
https://t.co/TGbTpZtlKP #CBR #businessnews… https://t.co/2giLRqZgFR",theofficialcbr,,jamaica joins unwto effo to mitigate covid tourism impact cbr businessnews
65,,RT @NigeriaNewsdesk: BREAKING: COVID-19: Sanwo-Olu asks Lagos civil servants to work from home https://t.co/MvSw2K2cb4 via @politicsngr,UMHmanga___,, breaking covid sanwo olu asks lagos civil servants to work from home via
66,,"RT @cynthiamckinney: Here's an incredibly thorough, not too painstakingly technical assessment of SARS-CoV-2 and COVID-19 that I believe is…",eco_puppy,Blue Dot We Call Earth, here s an incredibly thorough not too painstakingly technical assessment of sars cov and covid that i believe is
67,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",karlalargaespa3,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
68,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",kaybear1223,"Houston, TX✈️ New Orleans, LA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
69,,Our ‘Against all odds’ Award recognises learners who overcome difficult circumstances to achieve success. As we liv… https://t.co/cEgpcBbgRj,NCFE,UK,our against all odds award recognises learners who overcome difficult circumstances to achieve success as we liv
70,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",_dianaparada,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
71,,"RT @NyleDiMarco: I’ve been really sick and I am now on the mend.

It is very possible I contracted coronavirus and I have access to get tes…",jorgexgaga,"Austin, TX", i ve been really sick and i am now on the mend it is very possible i contracted coronavirus and i have access to get tes
72,,"RT @Davyshanks: In Aberdeen there are 340 places for emergency childcare. So, it's being prioritised towards parents with no other carer av…",kenkenzobanks,"Aberdeen, Scotland", in aberdeen there are places for emergency childcare so it s being prioritised towards parents with no other carer av
73,,"RT @laraseligman: Just in: DOD announces its first death from COVID-19, a Crystal City-based contractor who worked at the Defense Security…",hollyrob19,, just in dod announces its first death from covid a crystal city based contractor who worked at the defense security
74,,"RT @NapaRegister: Napa County announced its first confirmed case of COVID-19 on Sunday but declined to offer any details about the patient,…",ddrodriguez21,, napa county announced its first confirmed case of covid on sunday but declined to offer any details about the patient
75,,"RT @pathan_sumaya: In #Turkey, people have started to leave food packets on the road for needy who cannot earn due to #COVIDー19 lockdown

E…",BagwanRaiskhan,, sumaya in turkey people have staed to leave food packets on the road for needy who cannot earn due to covid lockdown e
76,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",cjdataviz,"California, USA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
77,,"RT @QasimRashid: Hobby Lobby CEO David Green is worth $6.4B

He could give every one of HL’s 32K employees a $100K check &amp; still have $3.2B…",Eaglestar51st,La última colonia, hobby lobby ceo david green is woh b he could give every one of hl s k employees a k check still have b
78,,"RT @Rahulranjan_6: Thanks @HemantSorenJMM  sir for taking necessary action on COVID-19.
Best CM 😍 @HemantSorenJMM",Rahulranjan_6,, thanks sir for taking necessary action on covid best cm
79,,"RT @TeamCavuto: .@SenJohnKennedy to guest host @cvpayne: Our economy is going to take a short-term hit from the COVID-19 outbreak, but I do…",Lca224Austin,, to guest host our economy is going to take a sho term hit from the covid outbreak but i do
80,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,FIRSTLI68023616,, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
81,,"RT @mitchellvii: Word is doctors in Italy have a ""funny way"" of counting COVID-19 deaths.

I can see it now - guy gets hit by a Truck cross…",GWorks55,, word is doctors in italy have a funny way of counting covid deaths i can see it now guy gets hit by a truck cross
82,,Department of Health reports fourth death and 121 new Covid-19 cases https://t.co/zIfpgGPDPX,breakingnewsie,Ireland,depament of health repos fouh death and new covid cases
83,,"RT @EMeadeMD: If I hear about one more celebrity/athlete who got tested for #COVID “just in case”, w/o any symptoms...I will scream. Where…",lizgross144,"Madison, WI", if i hear about one more celebrity athlete who got tested for covid just in case w o any symptoms i will scream where
84,,"RT @JoshBuice: Dear brother pastor, if COVID-19 causes you to preach to an empty room today as you livestream your service—remember the roo…",BurwellJammie,, dear brother pastor if covid causes you to preach to an empty room today as you livestream your service remember the roo
85,,RT @Egbert_PengWu: @DHSCgovuk @CMO_England @PHE_uk @NHSEngland @NHSuk @CathCalderwood1 @scotgovhealth @CMOWales @PublicHealthW @publichealt…,lanresegilola,"London, England", pengwu england uk
86,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,kmoonchiild,♋️🌞🌛♌️⬆️, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
87,,RT @itsalaughingman: @Smug_Legend Yeah disagreeing and providing facts is racism now. And I'm starting to think we deserve COVID-19.,GamesMaxout,"Texas, USA", legend yeah disagreeing and providing facts is racism now and i m staing to think we deserve covid
88,,"RT @wsly_dzr: Me waking up every morning with no covid-19 symptoms
 https://t.co/MOss5RdXof",_qveenabby415_,"Papeete,Tahiti", dzr me waking up every morning with no covid symptoms
89,,"To overcome COVID-19, need to make all settings available, give post-acute care the tools to join the fight https://t.co/yZhVVjEExY",chipkahn,DC,to overcome covid need to make all settings available give post acute care the tools to join the fight
90,,"RT @nycsouthpaw: The first Senator with a confirmed case of COVID-19 is Rand Paul, who delayed legislative response to the disease.",GregMysticMayor,"Connecticut, USA", the first senator with a confirmed case of covid is rand paul who delayed legislative response to the disease
91,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",J_mehappy,"Gun Barrel City, TX", the world will never be the same after we recover from covid every time the government said they couldn t find money for
92,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,brit_loren,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
93,,"RT @mitchellvii: If Obama were running for re-election, there would NEVER have been a ""COVID-19 Crisis.""  It simply would have been a rough…",macc1976_mc,Northern Ireland, if obama were running for re election there would never have been a covid crisis it simply would have been a rough
94,,Coronavirus In Pittsburgh: Officials Brace For Increased Spr.. https://t.co/IJSYZHXcHc https://t.co/XNGSAZKWi7,burghline,"Pittsburgh, PA",coronavirus in pittsburgh officials brace for increased spr
95,,"Is Bitcoin a Better Covid-19 Safe Haven Asset or US Treasury Bonds? - https://t.co/4hCMmiif7a 
      Fear of an imp… https://t.co/JJahVAiyKf",Betting521,,is bitcoin a better covid safe haven asset or us treasury bonds fear of an imp
96,,"RT @mitchellvii: Imagine if COVID-19 had infected 51 million and killed 55,000 Americans?

You'be shot on sight if you left your house.

An…",jimmyhoward27,United States, imagine if covid had infected million and killed americans you be shot on sight if you left your house an
97,,RT @asadowaisi: Spoke about these issues in my online public meeting today. We cannot confuse our faith &amp; trust in God with essential healt…,B687849,, spoke about these issues in my online public meeting today we cannot confuse our faith trust in god with essential healt
98,,RT @ChrisMurphyCT: A functional President would use emergency powers to organize a massive production and distribution system for the new 4…,gesb2,U.S.🇺🇸🌻, a functional president would use emergency powers to organize a massive production and distribution system for the new
99,,RT @kayveepdx: .@RonWyden distillers across the nation are stepping up to produce hand sanitizer to keep the public safe from #COVID_19. Pl…,shak_lopaka,, distillers across the nation are stepping up to produce hand sanitizer to keep the public safe from covid pl
100,,"RT @nowthisnews: Katie Porter's sister, a doctor, is breaking down how staying in can save lives during the COVID-19 crisis https://t.co/9q…",pk_2989,, katie poer s sister a doctor is breaking down how staying in can save lives during the covid crisis
101,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,benngai9,, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
102,,Rihanna’s Clara Lionel Foundation Gives $5 Million to COVID-19 Efforts https://t.co/QyEw06KxDs https://t.co/YrpiftputU,o2feed,"Paris, France",rihanna s clara lionel foundation gives million to covid effos
103,,Visit our website for updated guidance on how to protect yourself and your family from the spread of germs and viru… https://t.co/hLAzJ83u3E,lungindiana,"Indianapolis, IN",visit our website for updated guidance on how to protect yourself and your family from the spread of germs and viru
104,,RT @Egbert_PengWu: @DHSCgovuk @CMO_England @PHE_uk @NHSEngland @NHSuk @CathCalderwood1 @scotgovhealth @CMOWales @PublicHealthW @publichealt…,gregwrightYP,"Yorkshire Post, Leeds", pengwu england uk
105,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,Bollingpin,Armpit of hell, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
106,,"RT @DHSCgovuk: UPDATE on coronavirus (#COVID19) testing in the UK:

As of 9am on 22 March, a total of 78,340 have been tested: 

72,657 neg…",clar_idadE,"London, United Kingdom ", update on coronavirus covid testing in the uk as of am on march a total of have been tested neg
107,,"RT @DustNo5: Positive Thought No. 23:

Due to increased laziness and, therefore, reduced showers, my skin is less dry. Hmpf. 

Thanks again…",cosmeticnews,TX, positive thought no due to increased laziness and therefore reduced showers my skin is less dry hmpf thanks again
108,,"RT @psychdr100: Rand Paul has voted against every virus relief package for America.
NOW MR. PAUL HAS TESTED POSITIVE FOR COVID 19.
He was t…",NatliSznn,"Gwinnett, ATL Metro ", rand paul has voted against every virus relief package for america now mr paul has tested positive for covid he was t
109,,You’re Grounded: The COVID-19 Effect on Global Flight Capacity https://t.co/DBNDz6NuKl https://t.co/Q0c5y90JHS,DrHubaEvaluator,"North Carolina, USA  919",you re grounded the covid effect on global flight capacity
110,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,StoryofDatum,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
111,,"RT @BenSpielberg: Bernie Sanders is running daily COVID-19 discussions, leading the fight for public health &amp; stimulus measures that focus…",berling_,Ohlone Land, bernie sanders is running daily covid discussions leading the fight for public health stimulus measures that focus
112,,@OnyangoMoses2 @Lazooj Establishment is establishment. It is centred on maintaining the status quo. The information… https://t.co/D46sih1WJf,SecularKenyan,"Nairobi, Kenya",establishment is establishment it is centred on maintaining the status quo the information
113,,"RT @UNFPAMaldives: Pregnant women should take the same precautions to avoid #COVID19 infection as other people. 

-Wash your hands with an…",BaarahK,Maldives, pregnant women should take the same precautions to avoid covid infection as other people wash your hands with an
114,,RT @JuddLegum: SUNDAY: I reported @Kroger doesn't provide sick leave to many workers and will only pay workers that test positive for COVID…,MichaelReisch,"Baltimore, Maryland USA", sunday i repoed doesn t provide sick leave to many workers and will only pay workers that test positive for covid
115,,"RT @Derrobates: 5560 new cases and 651 deaths due to #Corona in Italy today 

A total of 59138 cases and 5476 deaths. 
#prayforitaly #italy…",DzimegaStephen,, new cases and deaths due to corona in italy today a total of cases and deaths prayforitaly italy
116,,RT @menchongdeee: THE WORST SCANDAL HERE is the fact that POLITICIANS insist on being tested for COVID-19 first WHILE THEY DO NOTHING to ad…,allisterwhut,always with juls, the worst scandal here is the fact that politicians insist on being tested for covid first while they do nothing to ad
117,,"RT @t3rr3z: After COVID-19 is over, I better NEVER hear anyone trash ""low end"" workers again. Those people at the grocery store, the Dollar…",ihateukenzie,atx, after covid is over i better never hear anyone trash low end workers again those people at the grocery store the dollar
118,,Our ‘Against all odds’ Award recognises learners who overcome difficult circumstances to achieve success. As we liv… https://t.co/njpA56xsdT,CACHEORG,United Kingdom,our against all odds award recognises learners who overcome difficult circumstances to achieve success as we liv
119,,Sen. Rand Paul of Kentucky is the first member of the Senate to report testing positive for COVID-19. https://t.co/PnDvm6B3ye,wjxt4,"Jacksonville, Fla.",sen rand paul of kentucky is the first member of the senate to repo testing positive for covid
120,,@JeffreeStar trying to quit this job that’s still OPEN even after finding out/confirming some of my co-workers just… https://t.co/chYAKPp1Jz,sadie_perry,,trying to quit this job that s still open even after finding out confirming some of my co workers just
121,,RT @RealMikeMorrell: The most important address you could watch today. Please take a few minutes to let this message of restraint and hope…,spa1218,"North Carolina, USA", the most impoant address you could watch today please take a few minutes to let this message of restraint and hope
122,,COVID-19: Union Bank Activates Remote Working For Employees https://t.co/bWLI5H5F0B https://t.co/4VOwV5P1Or,AyoMojoyin,,covid union bank activates remote working for employees
123,,"RT @UNNTV1: The world must wake up to China’s sick culture.
This man is trying to cook a live dog.
You know Chinese culture is a disaster t…",QSR111,Kingdom of Saudi Arabia, the world must wake up to china s sick culture this man is trying to cook a live dog you know chinese culture is a disaster t
124,,RT @nailainayat: Gilgit-Baltistan doctor Usama who tested positive for Covid-19 and was on the ventilator for two days passes away. He was…,indianchimpanze,"Trivandrum, India", gilgit baltistan doctor usama who tested positive for covid and was on the ventilator for two days passes away he was
125,,RT @Yoga_Journal: “Video by Aaron Huey @argonautphoto | Nurses from across the University of Washington system in Seattle pause for a brief…,Mel4Justice,PNW , journal video by aaron huey nurses from across the university of washington system in seattle pause for a brief
126,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",MedicCrow,Crow's Nest, i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
127,,RT @bobehayes: My 96-year-old mom tested positive for #Covid_19. She's got a cough and slight fever. Her nursing home is under quarantine;…,BibianaMaciell,"Baja California, México", my year old mom tested positive for covid she s got a cough and slight fever her nursing home is under quarantine
128,,RT @pbdwaj: @narendramodi @myogiadityanath can't we have a group of teams to go door to door to do a basic scanning of Covid-19 virus durin…,lavnidhi,"Delhi, India", can t we have a group of teams to go door to door to do a basic scanning of covid virus durin
129,,"RT @SCCHealth: (1/3) Sunday #StopTheSpread Check-In - Tip 2
Why should you keep 6 feet in mind when practicing social distancing? According…",MrsLAFox,, sunday stopthespread check in tip why should you keep feet in mind when practicing social distancing according
130,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",sushmithasidhu,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
