geo,tweet,user_handle,location,cleaned_tweets
,RT @ANI: Punjab CM Captain Amarinder Singh has sought a comprehensive economic package from the Centre to mitigate the hardship resulting f…,suryalisestoon,"Chennai, India", punjab cm captain amarinder singh has sought a comprehensive economic package from the centre to mitigate the hardship resulting f
,"RT @COVIDNearYou: Excited to announce that we have launched COVID Near You, a community-based surveillance system to track #COVID19. Help u…",pascod1997,"Ohio, USA", excited to announce that we have launched covid near you a community based surveillance system to track covid help u
,"RT @Sanity_3: This #Corona is going to teach us a lot of things
- wasting 2-3 hours in commute to work is absolutely unnecessary
- you can…",SurbhiBhadauria,Delhi, this corona is going to teach us a lot of things wasting hours in commute to work is absolutely unnecessary you can
,RT @SallyDeal4: Public-health experts including Dr. Anthony #Fauci are warning Trump officials against sending Americans back to work to re…,angie_jones0416, Texas, public health expes including dr anthony fauci are warning trump officials against sending americans back to work to re
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",janpfetzer,, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @katrina_wiser: MSNBC openly admits the truth

It’s all about POLITICAL LEVERAGE!

The Green New Deal, student debt, vote-by-mail have n…",m27731630,, wiser msnbc openly admits the truth it s all about political leverage the green new deal student debt vote by mail have n
,RT @visualplague: Very happy to have contributed to @nytimes article by @VVFriedman on masks and #COVID19 #coronavirus  - an in-depth look…,baronelawco,Palm Beach, very happy to have contributed to aicle by on masks and covid coronavirus an in depth look
,"RT @vijayanpinarayi: Explaining #COVID19 To Children 

It's important children understand the risks. But don't instill fear. 

🚸 Ensure the…",Breezebabu,Chennai , explaining covid to children it s impoant children understand the risks but don t instill fear ensure the
,"RT @brianchiong: One of my coworkers died today from #COVID19. Not much older, great guy. We were just sitting together a couple weeks ago,…",_elitl,"Houston, TX", one of my coworkers died today from covid not much older great guy we were just sitting together a couple weeks ago
,"RT @meothmans: Say ALHAMDULILLAH if you’ve waken up healthy, having no sign/symptom of #covid19. 

May Allah ease the sufferings of those t…",ruqqybabz,, say alhamdulillah if you ve waken up healthy having no sign symptom of covid may allah ease the sufferings of those t
,RT @tedlieu: The stock market and economy started crashing well before governments implemented stay at home orders. Why? It’s the #coronavi…,rthornton777,"Darujhistan, Genabackis", the stock market and economy staed crashing well before governments implemented stay at home orders why it s the coronavi
,"Stay safe, stay at home ! 

#StayHomeStaySafe #COVID2019 #Corona #StaySafe #tea https://t.co/dI5YZE21WP",TRATocklai,Kolkata,stay safe stay at home stayhomestaysafe covid corona staysafe tea
,"RT @sgdambrauskas: Why Italy? 🇮🇹

Very interesting analysis in @JAMA_current 

Some hypothesis for such a high fatality rates

@LaCampo4 #C…",Milligw,México, why italy very interesting analysis in current some hypothesis for such a high fatality rates c
,RT @cnnphilippines: WATCH: A Filipino community leader in Italy asks for government's help to extend assistance to OFWs affected by the #CO…,WillyGaleon,, watch a filipino community leader in italy asks for government s help to extend assistance to ofws affected by the co
,"RT @michaelmina_lab: FYI. This article headline is wrong. 

CDC is NOT saying #COVID19 virus survives &gt;17 days on surface. 

Just that the…",nwchap,"San Francisco, California", lab fyi this aicle headline is wrong cdc is not saying covid virus survives days on surface just that the
,#COVID19 #coronavirus Treatments that may treat Corona. https://t.co/bQVyy6wXLS,greatvedanti,"Dubai/Jammu, Jammu And Kashmir",covid coronavirus treatments that may treat corona
,"@ObataZik @Eddie_GreeneArt @BurnaBoySource @burnaboy @MannyNorte @stefflondon Please retweet🙏🏽
I am the artist… https://t.co/VK5bpguvo4",ETheGreat4,,greenea please retweet i am the aist
,"RT @MianoJN: #COVID19 is a sad reality. Lets follow government's directive of social distancing and  hand hygiene.
As much as the country i…",Didacus_Jr,"Nairobi, Kenya", covid is a sad reality lets follow government s directive of social distancing and hand hygiene as much as the country i
,"RT @NCDCgov: Four new cases of #COVID19 have been confirmed in Nigeria. 3 are in Lagos State and 1 in FCT

Two of these cases are returning…",OluJokotade,Nigeria, four new cases of covid have been confirmed in nigeria are in lagos state and in fct two of these cases are returning
,RT @ABSCBNNews: JUST IN: Philippine Heart Association’s former president Dr. Raul Jara passed away after losing the battle against #COVID19…,taboybhel,Repubic of the Philippines, just in philippine hea association s former president dr raul jara passed away after losing the battle against covid
,"RT @WilsonLeungWS: ""But as [China] returns to work, residents and analysts doubt the near-zero community transmission rate, worrying that l…",Njola_Van,Vancouver / Hong Kong, but as china returns to work residents and analysts doubt the near zero community transmission rate worrying that l
,"RT @dochelmy: ‘Make no mistake, we are at war. The time for decisive action is now.’

My friends @RealArifAstaman @nadsjalil &amp; I in @staron…",janeduasing,Malaysia, make no mistake we are at war the time for decisive action is now my friends i in
,"THIS is why we need to #StayAtHome 
#COVID19 https://t.co/RHXtGNvo85",Shaun_Dunlop,Gateshead,this is why we need to stayathome covid
,RT @State_SCA: Inspiring to see people across #India coming together despite being physically apart to applaud workers on the frontlines co…,srishti7,, sca inspiring to see people across india coming together despite being physically apa to applaud workers on the frontlines co
,"RT @antonioguterres: #COVID19 does not care about nationality or ethnicity, faction or faith. It attacks all, relentlessly.

Meanwhile, arm…",Gleb91974290,, covid does not care about nationality or ethnicity faction or faith it attacks all relentlessly meanwhile arm
,Vice President Tsogwane says South African president Ramaphosa has provided assurances that the movement of goods a… https://t.co/7xOqHzQsjW,MmegiOnline,Gaborone Botswana,vice president tsogwane says south african president ramaphosa has provided assurances that the movement of goods a
,"RT @antonioguterres: #COVID19 does not care about nationality or ethnicity, faction or faith. It attacks all, relentlessly.

Meanwhile, arm…",Mexpal,Mexico, covid does not care about nationality or ethnicity faction or faith it attacks all relentlessly meanwhile arm
,"RT @FightPoverty: Three Priorities for Business on the #coronavirus:
👋 Responsible Marketing
🤝 Accelerating Collaborative Action at the Cou…",FSDKe,"Nairobi, Kenya", three priorities for business on the coronavirus responsible marketing accelerating collaborative action at the cou
,"RT @ogundamisi: Good News: 🔥 @DavidOyedepoMin makes a  U-Turn, promises to comply with government directives on #COVID19 ""As a responsible…",OkewuyiOyeyemi,Lagos, good news makes a u turn promises to comply with government directives on covid as a responsible
,"RT @EricTopol: Someday this book on US #COVID19 will be written.
Likely more chapters to come.
This is so damn hard to watch as it continue…",FabienReyal,"Paris, France", someday this book on us covid will be written likely more chapters to come this is so damn hard to watch as it continue
,RT @monique_taute: #AfriForum condemns the @GovernmentZA's policy to provide financial relief to only black-owned businesses that are affec…,ORTOTIS,South Africa, taute afriforum condemns the s policy to provide financial relief to only black owned businesses that are affec
,RT @SirHenryKau: Oops! Almost missed my way to #COVID19 self quarantine. Sorry guys 🤦🏽‍♂️ https://t.co/LCB1DZGlL2,Harrygun62,"Dar es Salaam, Tanzania", oops almost missed my way to covid self quarantine sorry guys
,"RT @rachaelmoses: Tues 24th NIV/Cough assist #COVID19 Combo!

12:00 NIV: Home &amp; Acute devices
Delivered by @SAmantha_fWood watch from @rach…",CordyGaubert,"Yorkshire and The Humber, Engl", tues th niv cough assist covid combo niv home acute devices delivered by fwood watch from
,"Coronavirus: Teni and Brymo postpone their shows.
On the bright side, streaming will go up as people are self-isola… https://t.co/p0oTL6E5NZ",lam_phylix," Lagos, Ibadan, Delta Nigeria",coronavirus teni and brymo postpone their shows on the bright side streaming will go up as people are self isola
,RT @DanyalGilani: Military officials &amp; vehicles in several US cities to maintain order in the wake of #Corona virus spread. People still on…,mohsin_shams,"Dubai, UAE", military officials vehicles in several us cities to maintain order in the wake of corona virus spread people still on
,"RT @mvollmer1: The exponential effects of #SocialDistancing to slow the #coronavirus, it's in the data by @StatistaCharts 

MT @MikeQuindaz…",franktshaw,, the exponential effects of socialdistancing to slow the coronavirus it s in the data by mt
,"US had 10.1k new cases of #covid19 confirmed yesterday https://t.co/lTMz54Dx8z if you look at the graph, it grows quadratically there",schestowitz,North Pole,us had k new cases of covid confirmed yesterday if you look at the graph it grows quadratically there
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",nminkmar,, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @infolitgroup: In case you missed it, @bbcbitesize have today launched a great new resource to help children to identify fake news and m…",Upp_Library,"Uppingham, England", in case you missed it have today launched a great new resource to help children to identify fake news and m
,"RT @LovelyL01173478: The middle class are about to discover the cruelty of Britain's benefits system

Yes its cruel, meagre, even Victorian…",abbyaug,Wiltshire - UK, the middle class are about to discover the cruelty of britain s benefits system yes its cruel meagre even victorian
,RT @DrZweliMkhize: Fight #COVID19 with facts https://t.co/B0EOTOZOKz,djterto,AROUND, fight covid with facts
,"RT @MMybike: Good morning, all tho its snowing, lets hope we'll have peaceful day. Here is my photo of Hendrix bridge, one of most iconic s…",VoiceofCroatia,Republic of Croatia, good morning all tho its snowing lets hope we ll have peaceful day here is my photo of hendrix bridge one of most iconic s
,RT @jessejosharts: It all started like a joke when @idriselba posted a video telling the world about him having #covid19 many insulted him…,dzomzino,Kaduna, it all staed like a joke when posted a video telling the world about him having covid many insulted him
,"RT @VijayImmanuel6: Dear @actorvijay Anna 🙏 

This Should Not Be The End !!

Video: https://t.co/gNtA2ghAkJ

#EnowaytionPlus #EPlusSquad #C…",Vashim777,"Thirunageswaram, India", dear anna this should not be the end video enowaytionplus eplussquad c
,"RT @ogundamisi: Good News: 🔥 @DavidOyedepoMin makes a  U-Turn, promises to comply with government directives on #COVID19 ""As a responsible…",ibrmshoib,"Kauran Dole,Nigeria", good news makes a u turn promises to comply with government directives on covid as a responsible
,"RT @ANI: Delhi: Delhi Police clears the protest site in Shaheen Bagh area, amid complete lockdown in the national capital, in wake of #COVI…",Publicvibeben,, delhi delhi police clears the protest site in shaheen bagh area amid complete lockdown in the national capital in wake of covi
,RT @PawanDurani: China warned Italy but they did not take it seriously. Italy warned Spain but they did not take it seriously. Here is a me…,Srirangaangajal,Balijipeta, china warned italy but they did not take it seriously italy warned spain but they did not take it seriously here is a me
,"BREAKING!! 

“The 2020 Olympic Games will be postponed by one year because of coronavirus, says International Olymp… https://t.co/832JpMe3qt",BballNaija,"Nigeria, Africa.",breaking the olympic games will be postponed by one year because of coronavirus says international olymp
,"RT @RishiSunak: We've launched a new website that helps businesses find out how to access the support that has been made available, who is…",stevejdurr,Nottingham, we ve launched a new website that helps businesses find out how to access the suppo that has been made available who is
,RT @ABSCBNNews: Senator @sotto_tito says Congress' approved bill vs #COVID19 effects does not grant  the President  emergency powers: There…,UMakPH,"West Rembo, Makati City", senator tito says congress approved bill vs covid effects does not grant the president emergency powers there
,"RT @ose_anenih: It gets even worse. A day earlier Abba Kyari, who should’ve been in self-isolation upon his return from #COVID19 hotspot Ge…",ChazTita,Africa , anenih it gets even worse a day earlier abba kyari who should ve been in self isolation upon his return from covid hotspot ge
,RT @AlexWitzleben: 'Where's Fauci?' America panics as doctor absent again from White House briefing. Where was the 79-year-old infectious d…,Scooterissima,The BEACH inToronto, where s fauci america panics as doctor absent again from white house briefing where was the year old infectious d
,"RT @MoHFW_INDIA: #IndiaFightsCorona

Let us contribute in the fight against #COVID19.

Know when to practice #HomeQuarantine.

For more inf…",vishalpcbvisha1,ALLAHABAD, india indiafightscorona let us contribute in the fight against covid know when to practice homequarantine for more inf
,"RT @Efemenaa_: Good morning,

This is to employers who have refused to permit remote work despite the unrelenting spread of #Covid19. While…",Moyoawodele,Lagos Nigeria, good morning this is to employers who have refused to permit remote work despite the unrelenting spread of covid while
,"RT @Oldnotee: I think we actually have a CHANCE to this corona virus in NIGERIA,please let's read this retweet and tag whomsoever we can th…",slimzik_kun,"Lagos, Nigeria", i think we actually have a chance to this corona virus in nigeria please let s read this retweet and tag whomsoever we can th
,"RT @survivecourt: Pls RT:
As well as being a helpful resource for anyone in children’s social care, starting this Friday I’m hosting a dail…",Wiltsone,, pls  as well as being a helpful resource for anyone in children s social care staing this friday i m hosting a dail
,RT @DDNational: PM @narendramodi will address the Nation on #COVID19 TONIGHT at 8 PM on @DDNational &amp; Live-Stream on https://t.co/OFUmYgGtx…,imAravind264,"Chennai, India", pm will address the nation on covid tonight at pm on live stream on
,RT @iamKendickson: Me going out to buy something with sanitizers and masks in my mouth #COVID19,N_O_N_D_U_M_I_S,"Soweto, South Africa", me going out to buy something with sanitizers and masks in my mouth covid
,"RT @vijayanpinarayi: Explaining #COVID19 To Children 

It's important children understand the risks. But don't instill fear. 

🚸 Ensure the…",YahiyaMuhammed_,"Doha, Qatar", explaining covid to children it s impoant children understand the risks but don t instill fear ensure the
,"Better to stay inside.
#msdhoni #viratkohli #rohitsharma #davidwarner #stevesmith #cricketfans #teamindia… https://t.co/IL9Hopf764",cricket_jayant,"Nagpur, India",better to stay inside msdhoni viratkohli rohitsharma davidwarner stevesmith cricketfans teamindia
,"RT @ANI: Telangana Police has registered a case against a Deputy Superintendent of Police and his son who had returned from UK, for not fol…",vcvarma,Hyderabad, telangana police has registered a case against a deputy superintendent of police and his son who had returned from uk for not fol
,Life has to get normal. For that current Lockdown is an important part in India. This can only win this battle and… https://t.co/jvslPTjEx8,MoneyMystery,🇮🇳,life has to get normal for that current lockdown is an impoant pa in india this can only win this battle and
,RT @johnsoncinepro: Breaking : Actor @rajinikanth gave ₹50 lakhs for #FEFSI Workers who are facing shutdown due to Corona Virus our break.…,sathish_ssrk,, breaking actor gave lakhs for fefsi workers who are facing shutdown due to corona virus our break
,"RT @MoHFW_INDIA: #IndiaFightsCorona

Let us contribute in the fight against #COVID19.

Work from home and work online. 
Maintain social dis…",spillaiy,"Bengaluru, India", india indiafightscorona let us contribute in the fight against covid work from home and work online maintain social dis
,"RT @antonioguterres: #COVID19 does not care about nationality or ethnicity, faction or faith. It attacks all, relentlessly.

Meanwhile, arm…",ratcatcher2,"Lusk, Fingal, Dublin, Ireland", covid does not care about nationality or ethnicity faction or faith it attacks all relentlessly meanwhile arm
,RT @MsDFair: “Practice social distancing” may not be clear. “Stay home. Get groceries once per week” may be more clear. Messaging matters.…,prosenblum,, practice social distancing may not be clear stay home get groceries once per week may be more clear messaging matters
,"RT @listenshahid: I can't believe this! 36 mails in 5 minutes. Confident #Kashmir against #COVID . Pl send Name, Age, Qualification, Mobile…",manojgupta2,, i can t believe this mails in minutes confident kashmir against covid pl send name age qualification mobile
,RT @foldingathome: The F@h team is working hard to generate as many new #COVID19 WUs as possible. In the meantime you may get a WU for anot…,BrrrSergey,, the f team is working hard to generate as many new covid wus as possible in the meantime you may get a wu for anot
,"RT @PiyushGoyal: 🏥WHO backs India to take aggressive action against #COVID19

""Through its targeted public health interaction, India ended…",arvinddangi0818,indore, who backs india to take aggressive action against covid through its targeted public health interaction india ended
,RT @womensaid: It's likely that #Covid19 isolation will mean increased abuse. Our online services could be a woman's only access to support…,AustraliaToon1,Not in school. , it s likely that covid isolation will mean increased abuse our online services could be a woman s only access to suppo
,"RT @ANI: Delhi: Huge crowd seen at a vegetable market in Daryaganj, amid lockdown in the national capital. #COVID19 https://t.co/TgkdGfciaB",subodhsastri,दिल्ली आैर उत्तर प्रदेश।, delhi huge crowd seen at a vegetable market in daryaganj amid lockdown in the national capital covid
,"@JustinTrudeau @MichaelBuble @VancityReynolds I want to stay home yes but HOW??! when Premier Ford released a ""list… https://t.co/Z0QUM2G5xN",BabyC_AOTY,🇨🇦Canada & Arendelle ❄🍁,i want to stay home yes but how when premier ford released a list
,RT @ashokgehlot51: We are committed to ensure safety of all in the state in our fight against #COVID19. I urge all to follow the guidelines…,surendr03560037,Jaipur Rajasthan, we are committed to ensure safety of all in the state in our fight against covid i urge all to follow the guidelines
,"RT @DrLeanaWen: .@realdonaldtrump just said: ""if it were up to the doctors, they'd shut down the entire world."" Actually, if it were up to…",JaimeMRoss_PhD,"Kingston, RI", just said if it were up to the doctors they d shut down the entire world actually if it were up to
,RT @Iam360WISE: Breaking In #Asia News : Romania confirms first #COVID-19 death https://t.co/4vZ8yDSmhf #360WiSEMEDiA #WorldNews https://t.…,LeftEGrove,State of Kansas, breaking in asia news romania confirms first covid death wisemedia worldnews
,"RT @PMEthiopia: Three Points Proposal from the Government of #Ethiopia to G20 on #COVID-19 Response.

#PMOEthiopia https://t.co/DLjEsKiE0W",_Connect_Africa,Somewhere in AFRICA , three points proposal from the government of ethiopia to g on covid response pmoethiopia
,"RT @DrDenaGrayson: ‼️INSANITY. If we don't lock down, 4 million Americans are projected to DIE from #coronavirus over the coming months.

T…",Yovanowannabe,, insanity if we don t lock down million americans are projected to die from coronavirus over the coming months t
,RT @bradshaaaw: Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employ…,ShukorZ,"40,000 feet above sea level", yesterday i knocked on my tennant s door and told him he can stay in the propey rent free for months he is self employ
,"RT @vijayanpinarayi: Explaining #COVID19 To Children 

It's important children understand the risks. But don't instill fear. 

🚸 Ensure the…",challa_sandeep4,, explaining covid to children it s impoant children understand the risks but don t instill fear ensure the
,"RT @protectheflames: ""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updat…",wearereposed,"London, England", i stopped him and said look this isn t a movie you are not will smith in i am legend go home this is the updat
,Senators worried over COVID-19 status of 35 colleagues #COVID19 #CoronaVirusNigeria https://t.co/jRrKOwyGyy,opeict,,senators worried over covid status of colleagues covid coronavirusnigeria
,"RT @welfare_ie: You can now apply online for the new #COVID19 Pandemic Unemployment Payment.

To apply, visit https://t.co/M2y3fHlEv2 and r…",ecotreasure,"Galway, Ireland", ie you can now apply online for the new covid pandemic unemployment payment to apply visit and r
,"At this challenging time people of #Bengal when they are locking them down to save the state ft #Corona 
My humble… https://t.co/LCkaZLyVpX",AnnapurnaChatu2,"Kalimpong, West Bengal",at this challenging time people of bengal when they are locking them down to save the state ft corona my humble
,"RT @StarCreativesTV: If you happen to see this post, take a moment of silence and pray for healing and protection against #COVID19. We’ll m…",bettycoopahhh,, if you happen to see this post take a moment of silence and pray for healing and protection against covid we ll m
,RT @XHNews: A Chinese plane landed in Jakarta loaded with medical supplies Indonesia purchased from China to fight #coronavirus. #COVID19 h…,ikehikeh29,"Kota Medan, Sumatera Utara", a chinese plane landed in jakaa loaded with medical supplies indonesia purchased from china to fight coronavirus covid h
,RT @powes_parkop: Social distancing  is an inconvenience but absolutely critical to stop the spread of Covid19. This requires everyone to k…,mausgrazz,southwest pacific, parkop social distancing is an inconvenience but absolutely critical to stop the spread of covid this requires everyone to k
,RT @dwnews: Europe's biggest cities look deserted as governments across the continent take drastic measures to control the spread of #COVID…,Tramch,"Frankfurt am Main, Hessen", europe s biggest cities look deseed as governments across the continent take drastic measures to control the spread of covid
,RT @gchikermane: Reliance Industries Ltd sets up India's first dedicated #COVID19 hospital with 100-bed capacity in two weeks at Seven Hill…,prakashc_jha,"New Alipore, Kolkata", reliance industries ltd sets up india s first dedicated covid hospital with bed capacity in two weeks at seven hill
,"RT @NCDCgov: Voice notes, broadcasts &amp; images are being shared on Whatsapp and other platforms with FAKE NEWS

These messages are developed…",OAzukaego,"Awka,Nigeria ", voice notes broadcasts images are being shared on whatsapp and other platforms with fake news these messages are developed
,RT @GilbertTangMD: Please help @djc795 @ZeroTLR @chrismeduri @JoaoLCavalcante @OKhaliqueMD @PradeepYadavMD @OPreventzaMD @OuzounianMD @care…,modine_thomas,France, please help
,"5 new cases in Madagascar:  all from France and from the same Air France flight 

[6:51 GMT] #coronavirus… https://t.co/OfOvQf7J5D",COVIDLive,,new cases in madagascar all from france and from the same air france flight gmt coronavirus
,"RT @ANI: Telangana Police has registered a case against a Deputy Superintendent of Police and his son who had returned from UK, for not fol…",samvit2,"Queens, NY", telangana police has registered a case against a deputy superintendent of police and his son who had returned from uk for not fol
,RT @stephenWalt: U.S. influence in the world depends in part on others' belief that we are highly competent.  That advantage has been decli…,3jprasanth,New Delhi, u s influence in the world depends in pa on others belief that we are highly competent that advantage has been decli
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",jon_merrill,, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @NST_Online: #NSTnation: All 130 rooms at Tunes Hotel PWTC, which is near HKL, will now be offered to HKL medical staff, who will also b…",sykrshah95,"Kuala Nerus, Terengganu", online nstnation all rooms at tunes hotel pwtc which is near hkl will now be offered to hkl medical staff who will also b
,RT @JimboStanford: Delaying the #COVID19 Supplement for 5 weeks is an act of manipulation &amp; unspeakable cruelty. I know someone who needs i…,ghostwhowrites,Brisbane, delaying the covid supplement for weeks is an act of manipulation unspeakable cruelty i know someone who needs i
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",orthonormalist,, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,#COVID19 Trend reversal in Europe. Asia has it under control. Trump just reopening no matter what. US talking to OP… https://t.co/UEVmvCaJ0h,hendrikinvestor,,covid trend reversal in europe asia has it under control trump just reopening no matter what us talking to op
,RT @Karwa_k: @narendramodi Kindly no more claps or clanging of thalis! A strict entire country lockdown. Is the only vaccine to let this #C…,Kushaalkarwa,, k kindly no more claps or clanging of thalis a strict entire country lockdown is the only vaccine to let this c
,RT @JeremyHedges77: Exciting Update! We got our Health Canada certification!! 🇨🇦🇨🇦🇨🇦 We’ll have shields on the way to the front lines soon!…,MzAllieOsin1,"Ontario, Canada", exciting update we got our health canada ceification we ll have shields on the way to the front lines soon
,It would be great to see some clear  public health messaging on #breastfeeding and #COVID19 from the HSE @HSELive… https://t.co/0XSOvGs3VS,caoimhew,"Churchtown, Dublin",it would be great to see some clear public health messaging on breastfeeding and covid from the hse
,"RT @Alhamdhulillaah: In Turkey, people have been leaving food packets on the road for the poor and needy who cannot earn due to the #COVID1…",hadywach,Malaysia, in turkey people have been leaving food packets on the road for the poor and needy who cannot earn due to the covid
,RT @kystokes: #LAUSD is now closed through May 1 — and is launching an emergency $100M plan to ensure students can access distance learning…,evansotelo,"Los Angeles, CA", lausd is now closed through may and is launching an emergency m plan to ensure students can access distance learning
,RT @RanaDaggubati: Respect the lockdown! Go out ONLY &amp; ONLY if it's absolutely important. Let's act with responsibility and do our bit to s…,JyothiswarRedd4,, respect the lockdown go out only only if it s absolutely impoant let s act with responsibility and do our bit to s
,"RT @brianchiong: One of my coworkers died today from #COVID19. Not much older, great guy. We were just sitting together a couple weeks ago,…",shuaibsalam31,Lasu Isheri road. Igando Lagos, one of my coworkers died today from covid not much older great guy we were just sitting together a couple weeks ago
,"#StayAtHomeSaveLives 

Remember...  #COVID19Aus  when next the @LiberalAus  come talking about cutting the medicare… https://t.co/wPLArRcVZ1",grbradbury,Earth,stayathomesavelives remember covid aus when next the come talking about cutting the medicare
,"RT @NaheedD: Worked at the #COVID19 Assessment Center tonight and asked a gentleman to self-isolate. He said, “I’m homeless &amp; don’t want to…",olatunjicole,In ma World, worked at the covid assessment center tonight and asked a gentleman to self isolate he said i m homeless don t want to
,RT @sundarpichai: We’re partnering w/ the federal govt + other leaders in technology &amp; academia to provide @GoogleCloud high performance co…,mayankmajeji,"Bhopal, India", we re panering w the federal govt other leaders in technology academia to provide high performance co
,#COVID19 Population of our Country is a major issue. Every citizen of India need to understand population is major… https://t.co/EIKSc0eFrT,nabanitabose059,"Kolkata, India",covid population of our country is a major issue every citizen of india need to understand population is major
,RT @ANI: Karnataka: A group of Kashmiri students held protest at Bengaluru Airport y'day after suspension of operations of domestic airline…,AnnaramD,"राजस्थान, हिन्दूस्तान ", karnataka a group of kashmiri students held protest at bengaluru airpo y day after suspension of operations of domestic airline
,"RT @SaddiqueShaban: Rwanda detected and positively tested, in record time,  three people from #Kenya who flew into Kigali for #coronavirus.…",blongwe,"Lilongwe, Malawi", rwanda detected and positively tested in record time three people from kenya who flew into kigali for coronavirus
,"RT @geminigod: My heart hurts. 🤦🏻‍♂️

She’s 88 from #Spain looks like she has #Parkinson , and she’s making face mask for others because of…",ninny_8885,, my hea hus she s from spain looks like she has parkinson and she s making face mask for others because of
,COVID-19 has hit India at a time when the Indian economy was in a four year+ tail spin. This is what in US is calle… https://t.co/gNLhdhQkpv,Real_Sapanaaa,,covid has hit india at a time when the indian economy was in a four year tail spin this is what in us is calle
,RT @georgehousing: Chief John Allen French briefing Takla Admin Office staff on measures to keep #COVID19 out of the community. #coronaviru…,GRichardson3,"British Columbia, Canada", chief john allen french briefing takla admin office staff on measures to keep covid out of the community coronaviru
,"RT @antonioguterres: Today I am calling for an immediate global ceasefire in all corners of the world.

It is time to put armed conflict on…",EKhooban,, today i am calling for an immediate global ceasefire in all corners of the world it is time to put armed conflict on
,Time calls on us to fulfil our duty as #responsiblecitizens by #stayingindoors to safeguard ourselves and others fr… https://t.co/o3luCXHBxJ,mpsshbagh,"Delhi, India",time calls on us to fulfil our duty as responsiblecitizens by stayingindoors to safeguard ourselves and others fr
,RT @johnsoncinepro: Breaking : Actor @rajinikanth gave ₹50 lakhs for #FEFSI Workers who are facing shutdown due to Corona Virus our break.…,apvigneshkumar,, breaking actor gave lakhs for fefsi workers who are facing shutdown due to corona virus our break
,RT @RMCpost: Hahhaa... Im sure you would like more of your Medical Mullahs like the Irani ones who recommend oil soaked cotton balls to be…,bhuvanarox,, hahhaa im sure you would like more of your medical mullahs like the irani ones who recommend oil soaked cotton balls to be
,"RT @DreadCentral: ☠️Extreme Haunts never felt more Horrific…

#Horror #ExtremeHaunt #Cinema #Murder #Torture #Gore #Movie #Cinephile #Haunt…",annamariavirag,"London, Los Angeles, New York", extreme haunts never felt more horrific horror extremehaunt cinema murder toure gore movie cinephile haunt
,"RT @TheLancet: In Italy last week, data reported that 20% of health-care workers responding to #COVID19 were infected, and some have died.…",wiradipratama,Midgard, in italy last week data repoed that of health care workers responding to covid were infected and some have died
,RT @ramyakannan: @vijayabaskaofl announces a dedicated hospital with 350 beds for #COVID-19 patients at Omandurar Multi Specialty hospital-…,VinTN,"Madras, Tamil Nadu", announces a dedicated hospital with beds for covid patients at omandurar multi specialty hospital
,Absolutely astonishing. #COVID19 #Corona https://t.co/GZQtOwD1Xk,timmycon,LDN / HK / BKK,absolutely astonishing covid corona
,RT @mygovindia: Join PM @narendramodi today at 8PM as he addresses the nation on vital aspects related to the menace of #COVID19. #IndiaFig…,GYalpalwar,, join pm today at pm as he addresses the nation on vital aspects related to the menace of covid indiafig
,"RT @Anne_MarieBrady: China's #COVID19 figures are simply not reliable, 
More than 43,000 people tested + for Covid-19 in February but did n…",HongKongJT,Hong Kong, mariebrady china s covid figures are simply not reliable more than people tested for covid in february but did n
,"RT @LEANDRoooar: To my dear medical students, I hope that you understand that in this war, we are the reserves.

Please study because, God…",ChowWasHere08,Sa Bahay Lang., to my dear medical students i hope that you understand that in this war we are the reserves please study because god
,"RT @ANI: In last 24 hours, no new case of #COVID19 reported in Delhi. 5 ppl have been discharged after treatment. Biggest challenge right n…",rohitnrw23,"Narwana (Jind) Haryana,India", in last hours no new case of covid repoed in delhi ppl have been discharged after treatment biggest challenge right n
,"RT @JerioVinnie: In #Turkey, people have started to leave food packets on the road for the poor and the needy who cannot earn due to #COVID…",masturasufian,Malaysia, in turkey people have staed to leave food packets on the road for the poor and the needy who cannot earn due to covid
,"▶️One person infected with #COVID19 can spread infection to 59,0000

▶️Ordinary flu: one person can affect maximum… https://t.co/ErDTBF0s2Z",DrFouzia786,"England, United Kingdom",one person infected with covid can spread infection to ordinary flu one person can affect maximum
,#stayhome #savelives #stopthespread #stayhomesavelives💙 #pleaseshare #help #coronavirus🦠 #corona🦠 @ Planet Earth https://t.co/3f59hcsPb0,lawathome,"Stroud Green, London, England",stayhome savelives stopthespread stayhomesavelives pleaseshare help coronavirus corona planet eah
