datetime,text
"10:34 (IST), Mar 22","SSLC examinations in Karnataka, which were scheduled to start from 27th March have been postponed, reports ANI.However, the last exam of the 2nd PSU will be held tomorrow as scheduled, the state minister S Suresh Kumar told ANI."
"10:24 (IST), Mar 22", QuoteNumber of Covid-19 cases soar to 324 in India.Union health ministry 
"10:14 (IST), Mar 22","All 263 evacuees to be taken to ITBP Chhawla quarantine facility in Delhi, after thermal screening and immigration at the Delhi airport."
"10:13 (IST), Mar 22",Delhi Customs continue to provide its assistance in the clearance of the 263 passengers from Rome at the remote bay at the Delhi airport.All precautions being exercised and standard operating procedures (SOPs) for handling passengers are being followed.
"10:10 (IST), Mar 22",The special Air India flight carrying 263 Indian students that took off from Rome lands at Delhi airport.
"10:09 (IST), Mar 22","Hyderabad resident suspected to have coronavirus upon arrival at Nampally railway station from Mumbai.He arrived at Nampally railway station in the morning on a Mumbai express train. A fellow traveller had informed the police about the presence of a home quarantine stamp on his hand. He had earlier landed on a flight from Lagos, Nigeria via Abu Dabhi."
"10:03 (IST), Mar 22","The 1,700-bed hospital in Victoria to be converted into a special hospital to tackle only Covid-19 cases. All positive patients to be shifted to that hospital: Karnataka CM BS Yediyurappa"
"09:59 (IST), Mar 22","Janta Curfew is a battle against Coronavirus. Social distancing is the best way to defeat the pandemic and prevent its spread: Yogi Adityanath""The state government has taken all essential measures to fight Covid-19,"" said the UP CM."
"09:58 (IST), Mar 22","Policemen in Delhi offer flowers to the locals out on roads, requesting them to stay at home to observe the Janata Curfew today."
"09:56 (IST), Mar 22","'Must express gratitude to those serving the nation,' tweets Rajnath Singh."
"09:53 (IST), Mar 22","Read: 'I'm working from home today,' tweets Rajnath Singh, urging citizens to support Janta Curfew."
"09:49 (IST), Mar 22","The special Air India flight carrying 263 Indian students that took off from Rome has landed at Delhi airport, reports ANI."
"09:45 (IST), Mar 22","US Vice President Mike Pence and wife test negative, reports AFP quoting his press office."
"09:42 (IST), Mar 22","Pakistan suspends all international flights as coronavirus cases jump to 730, reports PTI.The government in a statement said all international flights are being suspended for two weeks to curb the spread of the virus. From 8 pm tonight, ""all incoming international flights are being suspended for two weeks,"" a statement issued read. The worst-affected Sindh province reported 90 new coronavirus cases, taking the provincial tally to 396."
"09:37 (IST), Mar 22","Meanwhile, Singapore to ban on all short-term visitors in new virus measures, reports Reuters.Singapore will not allow any short-term visitors to transit or enter the city-state in its latest measures to fight the spread of the coronavirus. The country will also only allow the return and entry of work pass holders, including their dependents, for those who provide essential services such as healthcare and transport. The city-state has confirmed 432 cases of the infection."
"09:31 (IST), Mar 22",Tracking the spread of coronavirus
"09:30 (IST), Mar 22",Traders' body Confederation of All India Traders (CAIT) has announced that they will keep their establishments shut across the country for the Janata Curfew.
"09:24 (IST), Mar 22",A panorama view of Koyambedu Wholesale Market Complex in Chennai.
"09:18 (IST), Mar 22",Indian Railways has cancelled all passenger trains till 10pm today in wake of Janta Curfew.
"09:13 (IST), Mar 22","Punjab announces Rs 3,000 relief for each construction worker, reports ANI.Punjab CM Captain Amarinder Singh on Saturday announced an immediate relief of Rs 3,000 each for all registered construction workers in the state in a bid to provide relief to them in the wake of Covid-19 outbreak. The money would be transferred to the bank accounts of workers by March 23."
"09:09 (IST), Mar 22","Dharwad district in Karnataka reports first Covid-19 positive case.The infected person returned to Dharwad from Australia via Muscat, Dubai and Goa."
"09:06 (IST), Mar 22",Ride hailing companies Ola and Uber will operate limited cabs during the Janata' curfew hours for essential travels.
"09:05 (IST), Mar 22",Sion Panvel highway in Navi Mumbai.
"09:02 (IST), Mar 22",Gandhipuram flyover in Coimbatore.
"09:01 (IST), Mar 22","Chief secretaries of all states have been asked to ensure that local bodies, fire services, police and civil defence blow sirens or ring bells on Sunday evening to express gratitude towards those involved in tackling coronavirus."
"08:54 (IST), Mar 22","Deserted Ranchi railway station, as all passenger & intercity trains have been cancelled till 10pm today."
"08:45 (IST), Mar 22",All markets and establishments except those dealing in essential goods and services will be closed for the day.
"08:41 (IST), Mar 22","People stay indoors, shops closed in Madhya Pradesh, reports PTI.Roadside shops and eateries in Madhya Pradesh remained closed in the state. Four districts - Jabalpur, Rewa, Seoni and Narsinghpur - have already been placed under lockdown since Saturday. Madhya Pradesh recorded its first cases of coronavirus on Friday with four persons testing positive in Jabalpur city."
"08:37 (IST), Mar 22",Mumbai: People providing essential services do not need to take part in self-imposed Janta Curfew.Visuals from Dadar railway station
"08:35 (IST), Mar 22",Janta Curfew being observed in UP's Prayagraj city.
"08:33 (IST), Mar 22",Ola & Uber services in Bengaluru stand disrupted as most associations extend support to Janta Curfew.
"08:30 (IST), Mar 22","For the first time in nine years, the entire Bengaluru Metro network will remain shut the whole of Sunday in the wake of Janta Curfew."
"08:27 (IST), Mar 22",The ghats of Varanasi
"08:25 (IST), Mar 22",Positive cases rise to 6 in Chandigarh. Health condition of all those who tested positive is stable: Chandigarh public relations department
"08:24 (IST), Mar 22","One person, a secondary contact of Chandigarh's first positive case, has tested positive: Department of public relations, Chandigarh"
"08:21 (IST), Mar 22",Kerala: Streets near Trivandrum Central wear a deserted look.
11:30 PM,U.S. Senator for Kentucky tests positive for coronavirus  
11:24 PM,"German Chancellor Angela Merkel in quarantine after doctor tests positive for virus A doctor who administered a vaccine to her has tested positive for the new coronavirus.Merkel's spokesman said the German chancellor was informed about the doctor's test shortly after holding a news conference.Her spokesman, Steffen Seibert, said Merkel had received a precautionary vaccine Friday against pneumococcal infection."
11:24 PM,All assemblies at public places to be restricted to 3 persons or less  
11:23 PM,Shutdown of all establishments and services except essential commodities/ services throughout J&K from 8:00 pm today till 6 pm March 31. Vehicles carrying essential supplies exempted; essential services too exempted  
10:58 PM,"27 COVID-19 positive cases in Delhi: 21 travelled abroad, 3 of them infected other 6 A senior health official said of the six infected persons who have not recently travelled to any other country.one came in contact with a Paytm employee suffering from coronavirus. Another person, a 68-year-old woman who died last week, had come in contact with her son who was infected with the contagion during a trip abroad."
10:56 PM,"Italy coronavirus deaths rise by 651 in a day, lifting total death toll to 5,476  "
10:38 PM,Total number of coronavirus positive cases rises to 396 in India (including foreign nationals): Indian Council of Medical Research (ICMR)  
10:29 PM,"News of 7 districts in Kerala under lockdown is false, says CMO The news that seven districts, including capital Thiruvananthapuram in the state, will completely be locked down till March 31 to check the spread of coronavirus is false, Kerala Chief Minister's Office said on Sunday.But prohibitory orders under section 144 of CrPC have been imposed in Kasaragod and Kozhikode districts of the state to restrict gathering at public places."
10:13 PM,From Jammu & Kashmir District authorities in Pulwama has ordered for the registration of an FIR against a person from Awantipora Tehsil for misleading the administration by hiding travel history to Pakistan.
10:12 PM,"Maharashtra: Currency Note Press in Nashik to remain closed till March 31,in wake of #Coronavirus outbreak. Jagdish Godse, Union Leader of Currency Note Press says,""We have completed our target by 99% till March 20. So,we have taken the decision to shut the press till March 31."""
10:12 PM,Jharkhand govt announces a lockdown till 31st March:  
10:04 PM,"Mozambique confirms first coronavirus case A 75-year-old man who had recently returned from Britain, tested positive.The man returned to the country mid-March."
10:01 PM,"Indian envoy in UK reassures nationals stranded in Britain, appeals for calm  "
09:59 PM,"Jharkhand government announces lockdown till March 31 Barring emergency services, all government departments, offices, factories, godowns, weekly markets, shops and business establishments will remain closed during the period, the notification issued after a high-level meeting chaired by Chief Minister Hemant Soren stated."
09:56 PM,"Nationwide Latest updates: - Lockdown in disctricts from states including Uttar Pradesh, Maharashtra, Punjab, Karnataka, Tamil Nadu and Kerala- All train services suspended till March 31, including sub-urban rail services. Goods trains are exempted- All metro rail services were also suspended till March 31- 60 private labs have registered so far to conduct tests"
09:54 PM,"Latest from India: - 15 more cases reported in Kerala- Six new cases reported in Karnataka, tally rises to 26- Cases in Punjab rise to 21- Woman, son test positive in Greater Noida (West), 8 cases in Gautam Buddh Nagar- Bihar reports first death; another woman tests positive- Death toll rises to 7 in India; total number of cases now 360- Man having travelled to Paris tests positive in Andhra Pradesh- Surat man first victim in Gujarat- Student who returned from London tests +ve in Bhopal"
09:33 PM,Kerala: Prohibitory orders under section 144 of CrPC have been imposed in Kasaragod and Kozhikode districts of the state to restrict gathering at public places.  
09:03 PM,"Death toll rises to 7, total cases 360 The total number of cases rose to 360 as fresh cases were reported from various parts of the country on Sunday.Gujarat, Bihar and Maharahstra reported a death each on Sunday.Four deaths were earlier reported from Karnataka, Delhi, Maharashtra and Punjab, the Union Health Ministry said.The total number of active COVID-19 cases across the country stands at 329 so far, and 24 people have been cured/discharged/migrated.Seven have died, taking total number of cases to 360, including 41 foreign nationals."
08:58 PM,Canada coronavirus death toll jumps by almost 50% to 19 in less than a day  
08:57 PM,Can you go to work during lockdown? Most major cities in the country have ordered private companies to let employees work from home. All offices will remain shut or work with minimal staff till the end of the lockdown period. The central and several state governments have announced relief packages for daily-wage earners and other temporary workers.
08:47 PM,"What happens is you break the rules in the lockdown? Anyone breaking the rules, could be punished with simple imprisonment for a term that may extend up to one month or with a fine which may extend to Rs 200, or with both."
08:46 PM,"What are essential activities? Essential activities include picking up groceries and medical supplies, going to doctor and going on a walk provided you are following social distancing. If you work for an essential service, you will not need to adhere to these restrictions."
08:45 PM,"What is lockdown? A lockdown is an emergency protocol that prevents people from leaving a given area. A full lockdown will mean you must stay where you are and not exit or enter a building or the given area.This scenario usually allows for essential supplies, grocery stores, pharmacies and banks to continue to serve the people. All non-essential activities remain shut for the entire period.India, at the moment, is not under complete lockdown. However, severe travel restrictions have been imposed on some states, and public places have been shut. Rail, intercity bus services have been suspended throughout the country."
08:32 PM,Heads of Dept may draw up a roster of staff:  
08:28 PM,"15 more fresh COVID-19 cases reported in Kerala Health department said out of the 15, five are in Kasaragod district, four in Kannur and two each in Malappuram, Kozhikode and Ernakulam districts."
08:25 PM,"IGI Airport to remain open for domestic flights The IGI Airport here will remain functional despite massive lockdown measures being implemented by the authorities across the country.According to aviation regulator DGCA, domestic flights to and from IGI Airport will continue to operate and the airport shall remain functional.However, all international flights will not be allowed to land from Sunday till a week's time to contain the spread of Covid-19."
08:09 PM,China reports 1st local COVID-19 case after 3 days; Beijing to divert all international flights  
08:07 PM,Death toll due to COVID-19 rises to 7 in India; total number of cases climb to 360: Union Health Ministry  
08:06 PM,"Six new cases reported in Karnataka, tally rises to 26  "
07:49 PM,"Number of Covid19 cases rises to 21 in Punjab, according to the State Health Department.  "
07:44 PM,"Woman, son test positive for coronavirus in Greater Noida (West), total no. of cases in Gautam Buddh Nagar 8: Officials  "
07:43 PM,"More cases of COVID19 may be reported in Kerala as many people, who were asked to remain in home quarantine after returning from affected countries, are participating in functions where they may infect others. Such people will be punished.  "
07:42 PM,Domestic flights to and from Indira Gandhi International Airport shall continue to operate and the airport shall remain functional.  
07:41 PM,Andhra Pradesh CM announces free ration to poor and Rs 1000 per family in view of lockdown.  
07:41 PM,Switzerland records more than 900 more coronavirus cases  
07:40 PM,"Bihar reports first Covid-19 death; another woman tests positive A 38-year-old man with a travel history to Qatar died at the All India Institute of Medical Sciences (AIIMS) at PatnaAnother woman, who is suspected to have come in contact with one of her Italy-returned relatives, has also tested positive in the city.The deceased, a resident of Munger district, was admitted to the hospital on Friday with a kidney ailment, hospital superintendent CM Singh said.The man, who was on dialysis, died on Saturday, but his COVID-19 test results from RMRI came only on Sunday morning, Singh said.The hospital superintendent also said that shortly after his death, the doctors handed over the body to the family members wrapped in a plastic bag."
07:29 PM,"Long-haul carrier Emirates says it will suspend all passenger flights beginning Wednesday over new coronavirus outbreak The decision is a major one for the Dubai-based, government-owned airline built on linking the East to the West.``We find ourselves in a situation where we cannot viably operate passenger services until countries re-open their borders, and travel confidence returns.''"
07:26 PM,The Goa government has extended the #JanataCurfew by three more days: Goa CM Pramod Sawant  
07:16 PM,Six locally transmitted coronavirus cases reported in Delhi: Kejriwal.  
07:15 PM,"Pak PM rules out complete lockdown, says it will create chaos  "
07:15 PM,Lockdown declared in entire Telangana till March 31 by state government to fight coronavirus; Only essential services allowed; People asked to remain in homes by CM.  
07:07 PM,"In the wake of coronavirus, Supreme Court's two courts will work through video-conferencing tomorrow. The judges will sit in their respective courtrooms, whereas lawyers will not argue their cases in courtrooms but from a different location.  "
07:01 PM,"All passenger trains, metro, inter-state bus services suspended till Mar 31, complete lockdown in 75 districts The decisions were taken at a high-level meeting of chief secretaries of all states.The districts where lockdown was announced are from states that include Uttar Pradesh, Maharashtra, Punjab, Karnataka, Tamil Nadu and Kerala. State governments will issue orders allowing only essential services to operate in these 75 districts with confirmed COVID-19 cases or casualties.The officials stressed that these steps were vital to end the chain of transmission.The state governments may expand the list depending on their assessment of the situation."
06:48 PM,"Grocery stores, bakery, hospital, medical store, petrol pump and other establishments providing essential service will continue to function during the lockdown period in Delhi:  "
06:47 PM,Janata Curfew will end at 9 pm but it doesn't mean we should start celebrating. It's the beginning of a long battle. People shouldn't come out of houses in states which have announced a lockdown. In rest of the states if it is not very important don't come out of the houses.  
06:42 PM,"Anil Agarwal Executive Chairman, Vedanta Resources Limited committing 100 crore towards fighting the Pandemic.  "
06:39 PM,New economical method of COVID-19 testing:  
06:29 PM,"The latest numbers in India so far: A total of 341 individuals have been confirmed positive— Maharashtra: 60 positive excluding 3 foreign nationals, one has died— Kerala: 45 positive, 7 foreigners too have been infected; 3 discharged— Rajasthan: 22 Indians and 2 foreign nationals positive, three have been cured— Uttar Pradesh: Total 25 cases of Covid 19 including one foreign national, nine have been discharged— West Bengal: Four cases of coronavirus has been reported— Gujarat: Total cases stand at 14— Andhra Pradesh: New patient in Visakhapatnam, 3rd in the state— Uttarakhand: 3 cases reported— Punjab: Total 13 cases, one death so far— Odisha: 2 positive cases— Telangana: 21 positive, including two foreign nationals. One person has been discharged"
06:26 PM,"Food, Medicines and e-commerce related to food items will remain available  "
06:25 PM,Interstate operations across bordering states will be minimised- only essential travels will be allowed  
06:25 PM,"There are 27 cases in Delhi - 6 of them fall under the category of transmission, 21 had come from foreign countries  "
06:24 PM,All private offices will remain closed but the employees - both permanent and contractual - will be considered to be on-duty. The companies will have to provide them the salary for this duration  
06:21 PM,Interstate operations across bordering states will be minimised- only essential travels will be allowed  
06:17 PM,There will be a complete lockdown in Delhi from 6 AM tomorrow till 12 AM 31st March  
06:13 PM,"15 UP districts, including Lucknow, Varanasi and Kanpur, to be under lockdown from Monday till Wednesday in first phase  "
06:09 PM,Spain reports virus deaths up 30 percent in one day  
05:59 PM,Singaporeans of Indian origin join in to clap and ring bells at 5 pm IST:  
05:56 PM,The lockdown will be effective from March 23 till March 25 in 15 districts of the state: Chief Minister Yogi Adityanath  
05:54 PM,Man having travelled to Paris tests positive for COVID-19 in Andhra Pradesh A man with travel history from Paris tested positive for coronavirus in Krishna district of Andhra Pradesh on Sunday.District officials said the man flew from Paris to Hyderabad and then travelled to Vijayawada on March 17.He was admitted to a government hospital in Vijayawada on March 20 where he tested positive for COVID-19.
" Mar 22, 2020 21:12","Domestic flights to remain operational from Delhi airport despite lockdownThe aviation ministry has clarified that the Delhi international airport will remain functional and all domestic flights will continue to operate from the airport as scheduled.""Domestic flights to and from IGIA Delhi shall continue to operate and the airport shall remain functional,"" the aviation ministry spokesperson told CNBC-TV18. More here"
" Mar 22, 2020 20:30","These 75 districts will be in complete lockdown from MondayIn an attempt to limit the fast-spreading coronavirus pandemic in the country, the central government on Sunday announced complete shutdown of 75 districts across the country. The state governments have issued orders allowing only essential services to operate in these 75 districts with confirmed COVID-19 cases. More here"
" Mar 22, 2020 20:08","BSE, NSE to operate as usual on March 23India's leading stock exchanges, BSE and the National Stock Exchange (NSE), will remain open and work as usual on March 23, Monday. Major parts of the country have been put under lockdown in a bit to combat the fast-spreading coronavirus outbreak, but the exchanges will not be impacted.""All segments at BSE will operate as usual on Monday, 23 March 2020,"" a BSE spokesperson said. More here"
" Mar 22, 2020 19:54","Be ready for COVID-19 patients, government tells all hospitalsThe Indian government has asked all hospitals in the country to be ready for COVID-19 patients as the number of positive coronavirus cases are expected to rise in the immediate future.Senior government officials have repeatedly held discussions with private and government hospitals in the matter, officials told CNBC-TV18. All Hospitals have been advised that they should prepare themselves in such a manner that they can dedicate most of their capacity for COVID-19 cases, officials added. More here"
" Mar 22, 2020 19:35","China embarks on clinical trial for coronavirus vaccineChina has started the first phase of a clinical trial for a novel coronavirus vaccine, records show, as the world's scientists race to find a way to combat the deadly pathogen. It comes after US health officials said last week they had started a trial to evaluate a possible vaccine in Seattle.The Chinese effort began on March 16 -- the same day as the US announcement -- and is expected to continue until the end of the year, according to a filing in the country's Clinical Trial Registry, dated March 17.""Volunteers of the COVID-19 phase one trial have already started receiving the vaccine,"" a staff member involved in the government-funded project told AFP on Sunday. The 108 participants, aged between 18 and 60, will be tested in three groups and given different dosages. They are all residents of the central city of Wuhan -- where the new coronavirus first emerged late last year."
" Mar 22, 2020 19:23","Telangana under lockdown until March 31Telangana will be under complete lockdown until March 31 as a precautionary measure to prevent the spread of coronavirus, chief minister K Chandrasekhar Rao said on Sunday.Rao made the announcement after chairing a high-level meeting to discuss the situation in the state where the total number of coronavirus positive cases has gone up to 26. We should show the same spirit as we did today (janta curfew) until March 31, we will be able to stop the spread of the disease. Telangana will be under lockdown till March 31,"" he said."
" Mar 22, 2020 18:58","Chandigarh administration orders lockdown until March 31The Chandigarh administration on Sunday put the union territory and joint capital of Punjab and Haryana under lockdown until March 31, suspending all non-essential services as well inter- and intra-city public transports from midnight to curb the spread of coronavirus.The restrictions under the lockdown will come into effect from midnight tonight, said an order issued by the Chandigarh administration under the provisions of the Epidemic Diseases Act.The lockdown in Chandigarh was ordered amid the Punjab government ordering it in the entire state and the Haryana government replicating the preventive and precautionary measure in seven districts of the state."
" Mar 22, 2020 18:26","Offices should function with skeletal staff: Central govt tells all its departmentsAll central government offices should work with skeletal staff as part of efforts to contain the spread of coronavirus, a personnel ministry order issued on Sunday said. The Centre has already allowed employees of all its departments to work from home, except those engaged in essential services.""Officials who are working from home should be available on telephone and electronic means of communication at all times. They should attend office if called for, in case of any exigencies of work,"" the ministry said in the order issued to all central government departments. PTI"
" Mar 22, 2020 18:09","Prohibitory orders issued in Delhi until March 31The Delhi Police on Sunday issued prohibitory orders until March 31 midnight in view of the coronavirus outbreak and banned protests, demonstrations and other gatherings in the city. The order issued by Delhi Police Commissioner SN Shrivastava will come into effect from 9 pm on March 22 and will remain valid unil the end of this month.According to the prohibitory orders, assembly of any kind for demonstrations, processions, protest is banned. Any gathering- social, cultural, political, religious, academic, sports, seminar or conference is also prohibited."
" Mar 22, 2020 17:34","FMCG makers reduce hand sanitizer prices as per govt directive FMCG companies have reduced the prices of hand sanitizers following the government directive and have also increased their production to meet the sudden spike in demand amidst the COVID-19 scare.Hand sanitizer manufacturers like RB, HUL, ITC, Godrej Consumer, Himalaya and Dabur said they are not contemplating about the price cap and stand with the nation in the midst of a severe health crisis. The makers, are also ensuring that their range of hygiene products reach shops on time through their supply pipelines.On Saturday, the government capped the maximum retail price of hand sanitizer at Rs 100 per 200ml bottle until June 30 this year amid a sharp rise in the prices of this product owing to the coronavirus outbreak.""As a responsible company, in addition to our earlier announced price reduction, we will further reduce the prices of sanitizers and ensure we adhere to the new pricing as declared by the government, said a HUL spokesperson. HUL, sells hand sanitisers under Lifebouy brand. PTI"
" Mar 22, 2020 16:57","Indian Railways ensures social distancing at ticket countersPracticing social distancing, Indian Railways staff at the Vijayawada station advised people queuing for tickets to keep distance in a bid to stave off possible transmission of coronavirus, reports CNBC-TV18’s Niral Sharma from the Vijayawada station. The authorities had stuck special markers at a distance of 1 metre each in order to ensure adequate gap between ticket seekers."
" Mar 22, 2020 16:30","Coronavirus death toll in the country rises to 7Death toll due to coronavirus in the country has risen to seven with three COVID-19 deaths reported on Sunday. One person each in Maharashtra, Gujarat and Bihar succumed to the conatgious virus on Sunday. The number of positive coronavirus cases in India has risen to 341."
" Mar 22, 2020 16:19","Maharashtra to impose Section 144 from tomorrowMaharashtra chief minister Uddhav Thackeray on Sunday announced that Section 144 will be imposed in all urban areas of the state from Monday in a bid to stop the spread of coronavirus.Maharashtra has reported 74 positive coronavirus cases so far. The state has seen two casualties as a result of the pandemic that has caused over 13,000 deaths globally. More here"
" Mar 22, 2020 16:00",4 new COVID-19 cases in Gujarat takes total in the state to 18
" Mar 22, 2020 15:53","Be prepared for campaigns like 'janta curfew', says UP CM AdityanathUttar Pradesh chief minister Yogi Adityanath on Sunday said that arrangements are being made for free tests and treatment of the people infected with coronavirus in the state. At present there are more than 2,000 isolation beds in the state, he said, adding the number of such beds will be more than 10,000 within the next two days.""The number of persons infected with coronavirus was 27 in the state. Eleven people out of them have become completely healthy. The rest of them are stable and their condition is improving rapidly. In order to prevent the increase in the number of coronavirus-infected people, we have to be prepared for campaigns like janta curfew,"" said the chief minister. PTI"
" Mar 22, 2020 15:47","Train stations deserted as nation observes ""janta curfew""Vijayawada, the fourth busiest train station in the country, wore a deserted look today in lieu of the “janta curfew” called by Prime Minister Narendra Modi, reports CNBC-TV18’s Niral Sharma aboard Visakhapatnam–Lokmanya Tilak Terminus Express.According to the Vijaywada Railway Division, the station serves about 1.40 lakh passengers,  more than 180 express and upwards of 150 goods trains every day."
" Mar 22, 2020 15:20","Indian equities to be under pressure as COVID-19 spreads, say analytsThe key Indian equity markets -- S&P BSE Sensex and NSE Nifty50 -- might face some pressure in the coming week as investors remain on the edge regarding the economic fallout of the COVID-19, analysts opined.""The spread of coronavirus, its impact on the global economy and the response of various nations to deal with it will also be closely watched,"" said Deepak Jasani, Head of Retail Research, HDFC Securities. ""Although global markets are heavily oversold, the bounces are not sustaining and we are witnessing fresh bout of negative news resulting in rallies being sold into. This is frustrating investors across the globe."" More here"
" Mar 22, 2020 14:36","Mahindra & Mahindra suspends production amid coronavirus scareMahindra & Mahindra on Sunday announced the suspension of operations at its Nagpur plant with immediate effect due to coronavirus concerns. Production at the company's Chakan and Kandivili facilities will also be suspended from Monday night onwards, M&M said in a statement. All the three plants are closed today as well.""In light of heightened concern on the spread of coronavirus in Maharashtra, we have decided to suspend the manufacturing operations at our Nagpur Plant with immediate effect and Chakan (Pune) and Kandivali (Mumbai) from Monday night onwards,"" the company said. It added that the company has taken 'proactive, preventive and pre-emptive measures"" at all its offices and manufacturing locations in the country, to ensure employee safety and contain the spread of the coronavirus. PTI"
" Mar 22, 2020 14:25","Things back to normal at Delhi airport, says aviation minister PuriAviation minister Hardeep Singh Puri on Sunday said 90 health counters are operational at the Delhi airport and things are back to normal now.""We have a backlog of just about 500 passengers whom we should be able to clear in an hour. Passengers arriving on subsequent flights will also be screened within the same timeframe,"" Puri wrote on Twitter.After the Union health ministry announced that passengers from the UK, the US and Australia would also compulsorily undergo thermal screening, there was a turmoil at the Delhi airport on Saturday as passengers waited for hours to complete immigration and screening processes. “It has been a difficult two days, but with 90 health counters operational for secondary screening of incoming passengers at Delhi Airport, things are back to normal,"" the minister added. PTI"
" Mar 22, 2020 14:20","UK PM Boris Johnson warns of overwhelmed health services in two weeksBritain's National Health Service (NHS) could be ""overwhelmed"" by the coronavirus like the Italian health system in just two weeks, Prime Minister Boris Johnson has warned in the face of rising numbers of deaths. The death toll in Italy - the world's worst-hit - reached almost 5,000 on Saturday, while in Britain it hit 233.In comments carried in the Sunday Telegraph and other Sunday newspapers, Johnson again urged Britons to stay at home to stop the spread of the virus. ""The numbers are very stark, and they are accelerating. We are only a matter of weeks - two or three - behind Italy,"" he said. ""Unless we act together, unless we make the heroic and collective national effort to slow the spread - then it is all too likely that our own NHS will be similarly overwhelmed,"" he said. Reuters"
" Mar 22, 2020 14:12","Former Real Madrid president Lorenzo Sanz dies of coronavirusFormer Real Madrid president Lorenzo Sanz has died of coronavrius, The Guardian reported. Sanz, under whose regime Real Madrid won the 1998 Champions League to end the club’s 32-year wait for a European title, was admitted to a hospital on Tuesday after eight days of fever. He was 76.Spain is one of the worst-affected countries due to coronavirus with over 20,000 infected and more than 1,000 deaths."
" Mar 22, 2020 13:57","4 new COVID-19 patients in Pune kin of coronavirus positive womanFour people, who tested positive for coronavirus in Pune, on Sunday are close relatives of a 41-year-old woman who was earlier found infected by the virus, officials said on Sunday. The woman, who is currently on ventilator support at Bharti Hospital and continues to be critical, tested positive for the infection earlier after her throat swabs were sent to the National Institute of Virology to check for the possibility of swine flu (H1N1), a doctor said. She has no foreign travel history."
" Mar 22, 2020 13:48","COVID-19 to delay job interviews, impact hiring, say expertsThe overall hiring sentiment in the country is likely to witness an adverse impact in the short term with 60-65 per cent interviews getting delayed, especially in the services sector, following the slowdown across industries triggered by the coronavirus pandemic, industry experts have said. ""Since the outbreak of COVID-19, companies have been cancelling interviews. We expect 60-65 percent interviews getting dropped or delayed as there is a lockdown in many parts of the country and people are encouraged to stay at home to curtail the spread of the virus,"" TeamLease Services business head, BFSI and government vertical, Amit Vadera told PTI. This will also lead to delay in joining dates if the current situation continues, he said."
" Mar 22, 2020 13:23","Indian Railways cancels all passenger ​trains until March 31Indian Railways on Sunday announced the cancellation of all passenger trains until March 31 in a bid to counter the fast-spreading coronavirus pandemic.Earlier, the Railways had announced the cancellation of trains on Sunday in line with Prime Minister Narendra Modi’s call for “janta curfew” or people’s curfew on Sunday. As part of the curfew people are supposed to stay indoors from 7 am until 9 pm."
" Mar 22, 2020 13:04","Death toll in India rises to 5 with second casualty in MaharashtraThe death toll due to novel coronavirus infection in India rose to five on Sunday with the Union Health Ministry confirming the death of a second COVID-19 patient in Maharashtra. A 63-year-old coronavirus patient died in Mumbai on Sunday, taking the death toll in Maharashtra to two, a health official said. PTI"
" Mar 22, 2020 12:44","10 new coronavirus cases in MaharashtraThe total number of coronavirus positive patients in Maharashtra has risen to 74 with 10 more positive cases reported in the last 24 hours, officials said. Of the 10 new cases, six are in Mumbai and four in Pune, they said on Sunday. Earlier this week, a Covid-19 patient died in Mumbai. PTI"
" Mar 22, 2020 11:57","After IndiGo, GoAir announces salary cuts with immediate effectAs the country continues to face the brunt of novel coronavirus, the aviation industry comes to a standstill after all international commercial flights were shut by the government till March 31.In a move to cut losses, GoAir said that it's top leadership volunteers salaries will be cut 50 percent with immediate effect. The airlines also initiated a short-term rotational leave without pay program, and said that these measures are temporary to combat COVID-19 impact."
"Mar 22, 2020 11:49 ","Following other states, Punjab announces lockdown till March 31##Following other states, Punjab announces lockdown till March 31"
"Mar 22, 2020 11:47 ",Indian Banks Association urges people to use online services##Indian Banks Association urges people to use online services  
"Mar 22, 2020 11:24 ", 
"Mar 22, 2020 11:06 ","Another COVID-19 patient dies in Mumbai; death toll rises to two in Maharashtra##Another COVID-19 patient dies in Mumbai; death toll rises to two in MaharashtraThe 65-year old male patient had a chronic history of diabetes, high blood pressure and a heart disease. He developed acute respiratory distress syndrome leading to death."
"Mar 22, 2020 10:54 ", 
"Mar 22, 2020 10:51 ","Mumbai train services will be shut till midnight of March 22##Mumbai train services will be shut till midnight of March 22Only government personnels (with valid ID card) associated with essential services and people in need of urgent medical assistance will be allowed to avail the train services.Mumbai's lifeline will resume its services tonight, from 12 am onwards."
"Mar 22, 2020 10:22 ",Just In: Health Ministry says total COVID-19 cases in India rises to 324##Just In: Health Ministry says total COVID-19 cases in India rises to 324
"Mar 22, 2020 10:20 ","Hero MotoCorp halts all operations with immediate effect##Hero MotoCorp halts all operations with immediate effectThe two-wheeler manufacturer Hero MotoCorp has decided to halt all operations at India, Columbia and Bangladesh with immediate effect. The company has put all manufacturing plants on hold till March 31 in view of coronavirus outbreak. "
"Mar 22, 2020 10:07 ","Italy coronavirus deaths jump by almost 800, the government shuts most workplaces##Italy coronavirus deaths jump by almost 800, the government shuts most workplacesItaly recorded a jump in deaths from coronavirus of almost 800 on Saturday, taking the toll in the world’s hardest-hit country to almost 5,000. In its latest desperate effort to halt the epidemic Rome ordered that all businesses must close until April 3, with the exception of those essential to maintaining the country’s supply chain."
